Date,AAUKF,ANFGF,BHP,CPER,ERO,FCX,FM.TO,GLNCY,HBM,HG=F,IVPAF,JJCTF,LUNMF,PICK,RIO,SCCO,TECK,TGB,XME,ZIJMF
2023-03-08,30.99092674255371,18.247661590576172,54.509422302246094,24.540000915527344,17.68000030517578,38.88755416870117,29.80624008178711,10.017443656921387,4.9862799644470215,4.041500091552734,8.579999923706055,45.0,5.720954418182373,38.8413200378418,57.63483428955078,65.07233428955078,37.5289306640625,1.600000023841858,54.46859359741211,1.485681414604187
2023-03-09,30.99092674255371,17.96372413635254,53.86198043823242,24.479999542236328,16.780000686645508,37.57339096069336,27.301681518554688,9.74622917175293,4.608079433441162,4.054500102996826,8.25,45.0,5.314951419830322,38.07743453979492,56.71207809448242,63.69983673095703,36.23681640625,1.5099999904632568,53.06193923950195,1.4292631149291992
2023-03-10,31.05520248413086,17.727109909057617,53.31209945678711,24.399999618530273,16.829999923706055,36.33597946166992,26.834562301635742,9.781224250793457,4.528458118438721,4.045499801635742,8.029999732971191,45.0,5.296496868133545,37.40341567993164,56.146785736083984,62.857215881347656,35.24140548706055,1.5,51.28409194946289,1.4292631149291992
2023-03-13,31.147029876708984,17.727109909057617,53.85311508178711,24.700000762939453,16.579999923706055,36.07698440551758,26.387319564819336,9.728731155395508,4.578220367431641,4.069499969482422,8.149999618530273,45.0,5.388770580291748,37.28659439086914,56.87002944946289,63.0048942565918,34.44698715209961,1.5199999809265137,50.873817443847656,1.5044875144958496
2023-03-14,31.147029876708984,17.727109909057617,54.1014518737793,24.489999771118164,16.700000762939453,36.48945999145508,26.993581771850586,9.763727188110352,4.6180315017700195,4.010499954223633,8.470000267028809,45.0,5.425679683685303,37.58315658569336,57.68470764160156,64.11679077148438,35.33396911621094,1.5700000524520874,51.27432632446289,1.5044875144958496
2023-03-15,28.970775604248047,17.727109909057617,51.600364685058594,23.700000762939453,15.399999618530273,34.062583923339844,24.65797996520996,8.748858451843262,4.379167556762695,3.8564999103546143,7.769999980926514,45.0,5.075040817260742,35.507179260253906,54.75849533081055,59.121925354003906,32.610008239746094,1.4800000190734863,48.226585388183594,1.4292631149291992
2023-03-16,29.6533203125,16.193851470947266,51.06822204589844,23.59000015258789,15.640000343322754,34.628536224365234,25.67173194885254,8.958831787109375,4.418978214263916,3.885499954223633,7.949999809265137,45.0,5.130404949188232,35.641990661621094,53.81080627441406,59.51283264160156,33.16255187988281,1.4800000190734863,48.72477340698242,1.4292631149291992
2023-03-17,28.290491104125977,16.960479736328125,51.08595275878906,23.75,16.200000762939453,34.753238677978516,25.90032196044922,9.177553176879883,4.528458118438721,3.9135000705718994,8.100000381469727,45.0,5.176541328430176,35.65097427368164,53.760921478271484,59.16535568237305,33.15286636352539,1.5199999809265137,48.343807220458984,1.4198600053787231
2023-03-20,30.132665634155273,17.111913681030273,52.114768981933594,24.170000076293945,16.549999237060547,35.92350387573242,26.715295791625977,9.632494926452637,4.7474164962768555,3.9755001068115234,8.460000038146973,43.09000015258789,5.305724143981934,36.4058723449707,55.24897003173828,61.68452072143555,34.20948791503906,1.5399999618530273,49.087764739990234,1.4574722051620483
2023-03-21,29.85070037841797,17.111913681030273,51.61810302734375,24.469999313354492,16.690000534057617,36.70048141479492,27.579967498779297,9.597498893737793,4.866847515106201,4.018499851226807,8.489999771118164,43.09000015258789,5.361088275909424,36.5676383972168,54.849945068359375,61.979862213134766,34.23857116699219,1.5399999618530273,49.8131103515625,1.4574722051620483
2023-03-22,30.05747413635254,17.547285079956055,51.02387237548828,24.65999984741211,16.579999923706055,36.297611236572266,27.997394561767578,9.545005798339844,4.876800537109375,4.06850004196167,8.380000114440918,45.0,5.379542350769043,36.27107620239258,54.07682418823242,61.64109420776367,33.65693664550781,1.5199999809265137,48.73490524291992,1.5044875144958496
2023-03-23,30.05747413635254,17.689252853393555,51.09482955932617,24.959999084472656,16.5,36.24964141845703,27.94770050048828,9.553755760192871,4.866847515106201,4.145999908447266,8.199999809265137,46.4900016784668,5.329144477844238,36.08235168457031,53.70273208618164,61.988548278808594,34.12224197387695,1.5299999713897705,48.901527404785156,1.5515027046203613
2023-03-24,30.05747413635254,17.755504608154297,51.57375717163086,24.84000015258789,16.65999984741211,36.46067810058594,28.17629051208496,9.466265678405762,4.807131767272949,4.101500034332275,8.319999694824219,45.150001525878906,5.33847713470459,36.12728500366211,53.760921478271484,61.88430404663086,34.01561737060547,1.5099999904632568,49.27400207519531,1.5138903856277466
2023-03-27,30.05747413635254,17.755504608154297,51.777748107910156,24.979999542236328,17.0,36.43190383911133,28.762676239013672,9.69373607635498,4.926563262939453,4.104499816894531,8.40999984741211,45.150001525878906,5.3478102684021,36.387901306152344,54.110069274902344,62.73560333251953,34.025306701660156,1.5299999713897705,49.969932556152344,1.4950844049453735
2023-03-28,30.05747413635254,17.755504608154297,52.89524841308594,24.8700008392334,17.3700008392334,36.805999755859375,29.021081924438477,9.824969291687012,5.016137599945068,4.111999988555908,8.390000343322754,40.670101165771484,5.739797115325928,36.936100006103516,54.91644287109375,64.12549591064453,34.18041229248047,1.5700000524520874,50.52863693237305,1.570308804512024
2023-03-29,30.84697723388672,17.755504608154297,53.91519546508789,24.920000076293945,17.969999313354492,37.8323860168457,29.816181182861328,9.999946594238281,5.016137599945068,4.114999771118164,8.640000343322754,42.529998779296875,5.9731221199035645,37.493289947509766,55.55656051635742,65.7933349609375,34.50999450683594,1.6100000143051147,51.01873016357422,1.5609055757522583
2023-03-30,30.84697723388672,17.755504608154297,55.77770233154297,25.1200008392334,17.90999984741211,38.561405181884766,30.56158447265625,10.157425880432129,5.195285320281982,4.0904998779296875,8.899999618530273,42.75,6.17844820022583,38.18527603149414,56.620635986328125,65.81940460205078,35.081932067871094,1.6100000143051147,51.38139343261719,1.570308804512024
2023-03-31,30.84697723388672,18.824996948242188,56.23889923095703,24.940000534057617,17.639999389648438,39.24247360229492,30.879623413085938,10.008694648742676,5.2251434326171875,4.104499816894531,9.050000190734863,42.630001068115234,6.337109565734863,38.391971588134766,57.02797317504883,66.23636627197266,35.382442474365234,1.659999966621399,52.10674285888672,1.5515027046203613
2023-04-03,30.84697723388672,18.427488327026367,55.70675277709961,24.770000457763672,18.110000610351562,39.52065658569336,32.09214782714844,9.991198539733887,5.2251434326171875,4.059500217437744,9.199999809265137,42.630001068115234,6.421106338500977,38.553741455078125,56.60400390625,67.0963363647461,42.31352233886719,1.7100000381469727,52.420406341552734,1.5044875144958496
